
C:\Users\User\python\AutomaticVerification\LTL2CTL>c:\Users\User\AppData\Local\Programs\Python\Python35-32\python.exe proc_model.py 2 4 * 
Starting Test : Starvation : LTL
Time: 1535874074.1322708
Model generated
Testing Formula: ~[[[_]|[~[_]]]U[~[[~[[o]&[w]]]|[[[_]|[~[_]]]U[[o]&[~[w]]]]]]]
Found an SCC 151 (1535891142.924605)
Found an SCC 152 (1535891144.505702)
Found an SCC 153 (1535891145.6590416)
Found an SCC 154 (1535891164.223426)
Found an SCC 155 (1535891166.407177)
Found an SCC 156 (1535891227.1124437)
Found an SCC 157 (1535891228.8464732)
Found an SCC 158 (1535892454.6604981)
Found an SCC 159 (1535892455.5160277)
Found an SCC 160 (1535892456.3805332)
Found an SCC 161 (1535892458.097551)
Found an SCC 162 (1535892463.9522035)
Found an SCC 163 (1535892465.3533847)
Found an SCC 164 (1535892466.206896)
Found an SCC 165 (1535892467.3992126)
Found an SCC 166 (1535892489.5075727)
Found an SCC 167 (1535892490.6849174)
Found an SCC 168 (1535892492.055114)
Found an SCC 169 (1535892492.9046476)
Found an SCC 170 (1535892499.1450791)
Found an SCC 171 (1535892500.2984197)
Found an SCC 172 (1535892501.6636388)
Found an SCC 173 (1535892502.5271451)
Found an SCC 174 (1535893783.2987633)
Found an SCC 175 (1535893784.4121068)
Found an SCC 176 (1535893785.9732344)
Found an SCC 177 (1535893787.0795813)
Found an SCC 178 (1535893794.2544985)
Found an SCC 179 (1535893795.937518)
Found an SCC 180 (1535893797.461665)
Found an SCC 181 (1535893798.5700138)
Found an SCC 182 (1535893806.5414722)
Found an SCC 183 (1535893808.3664088)
Found an SCC 184 (1535893810.527175)
Found an SCC 185 (1535893812.3441548)
Found an SCC 186 (1535893820.4465163)
Found an SCC 187 (1535893829.6512394)
Found an SCC 188 (1535893830.761623)
Found an SCC 189 (1535893831.8539798)
Found an SCC 190 (1535893833.4060926)
Found an SCC 191 (1535893840.8538516)
Found an SCC 192 (1535893841.9532032)
Found an SCC 193 (1535893843.4803314)
Found an SCC 194 (1535893844.5947125)
Found an SCC 195 (1535893857.2894335)
Found an SCC 196 (1535893922.7790043)
Test : LTL : True
Time: 1535908172.6029916
